port,dependency
xorg-libXt,xorg-libX11
xorg-libXtst,xorg-libXext
xorg-libXtst,xorg-libXi
xorg-libXtst,xorg-xorgproto
xorg-libXv,xorg-libXext
xorg-libXv,xorg-xorgproto
xorg-libXxf86vm,xorg-libXext
xorg-libXxf86vm,xorg-xorgproto
xorg-xcb-proto,libxml2
xorg-xcb-util,xorg-libxcb
xorg-xcb-util,xorg-xorgproto
xpm,xorg-libXt
xpm,xorg-libXext
xpm,gettext
xrender,xorg-libX11
xrender,xorg-xorgproto
xz,libiconv
xz,gettext
yasm,gettext
yelp-xsl,gtk3
yelp-xsl,libxslt
yelp-xsl,libxml2
zstd,lz4
zstd,xz
zstd,zlib
